page_id,leaf_id,page_number_display,side,image_path,crop_path,content_role,notes
A1-p001,,1,,ocr/A1/page-images/A1-p001.png,,title,front cover or wrapper for the Waseda shiburoku witness
A1-p002,,2,,ocr/A1/page-images/A1-p002.png,,title,inside wrapper or title-adjacent prefatory matter before the target text begins
A1-p003,,3,,ocr/A1/page-images/A1-p003.png,,body,opening page of the Faith in Mind text in the A1 Waseda witness
A1-p004,,4,,ocr/A1/page-images/A1-p004.png,,body,early body page of the Faith in Mind text in the A1 Waseda witness
A1-p005,,5,,ocr/A1/page-images/A1-p005.png,,body,mid-body page of the Faith in Mind text in the A1 Waseda witness
A1-p006,,6,,ocr/A1/page-images/A1-p006.png,,body,late-body page of the Faith in Mind text in the A1 Waseda witness
A1-p007,,7,,ocr/A1/page-images/A1-p007.png,,body,closing body page of the Faith in Mind text in the A1 Waseda witness
A1-p008,,8,,ocr/A1/page-images/A1-p008.png,,body,immediate post-close or appended end matter still on the target text leaves of the A1 witness
A1-p009,,9,,ocr/A1/page-images/A1-p009.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p010,,10,,ocr/A1/page-images/A1-p010.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p011,,11,,ocr/A1/page-images/A1-p011.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p012,,12,,ocr/A1/page-images/A1-p012.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p013,,13,,ocr/A1/page-images/A1-p013.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p014,,14,,ocr/A1/page-images/A1-p014.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p015,,15,,ocr/A1/page-images/A1-p015.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p016,,16,,ocr/A1/page-images/A1-p016.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p017,,17,,ocr/A1/page-images/A1-p017.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p018,,18,,ocr/A1/page-images/A1-p018.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p019,,19,,ocr/A1/page-images/A1-p019.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p020,,20,,ocr/A1/page-images/A1-p020.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p021,,21,,ocr/A1/page-images/A1-p021.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p022,,22,,ocr/A1/page-images/A1-p022.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p023,,23,,ocr/A1/page-images/A1-p023.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p024,,24,,ocr/A1/page-images/A1-p024.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p025,,25,,ocr/A1/page-images/A1-p025.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p026,,26,,ocr/A1/page-images/A1-p026.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p027,,27,,ocr/A1/page-images/A1-p027.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p028,,28,,ocr/A1/page-images/A1-p028.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p029,,29,,ocr/A1/page-images/A1-p029.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p030,,30,,ocr/A1/page-images/A1-p030.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p031,,31,,ocr/A1/page-images/A1-p031.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p032,,32,,ocr/A1/page-images/A1-p032.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p033,,33,,ocr/A1/page-images/A1-p033.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p034,,34,,ocr/A1/page-images/A1-p034.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p035,,35,,ocr/A1/page-images/A1-p035.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p036,,36,,ocr/A1/page-images/A1-p036.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p037,,37,,ocr/A1/page-images/A1-p037.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p038,,38,,ocr/A1/page-images/A1-p038.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p039,,39,,ocr/A1/page-images/A1-p039.png,,other,subsequent anthology or commentary material beyond the Faith in Mind span
A1-p040,,40,,ocr/A1/page-images/A1-p040.png,,other,late anthology material beyond the Faith in Mind span
A1-p041,,41,,ocr/A1/page-images/A1-p041.png,,other,late anthology material beyond the Faith in Mind span
A1-p042,,42,,ocr/A1/page-images/A1-p042.png,,title,rear wrapper or closing tail material for the Waseda witness
