page_id,leaf_id,page_number_display,side,image_path,crop_path,content_role,notes
T4-p001,,1,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00001.jpg,,title,front cover or wrapper for the Kyoto siburoku witness
T4-p002,,2,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00002.jpg,,body,opening page of the Faith in Mind text in the T4 anthology witness
T4-p003,,3,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00003.jpg,,body,mid-body page of the Faith in Mind text in the T4 anthology witness
T4-p004,,4,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00004.jpg,,body,closing page of the Faith in Mind text ending with the explicit final lines
T4-p005,,5,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00005.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p006,,6,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00006.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p007,,7,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00007.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p008,,8,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00008.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p009,,9,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00009.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p010,,10,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00010.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p011,,11,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00011.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p012,,12,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00012.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p013,,13,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00013.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p014,,14,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00014.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p015,,15,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00015.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p016,,16,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00016.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p017,,17,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00017.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p018,,18,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00018.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p019,,19,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00019.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p020,,20,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00020.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p021,,21,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00021.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p022,,22,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00022.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p023,,23,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00023.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p024,,24,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00024.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p025,,25,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00025.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p026,,26,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00026.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T4-p027,,27,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00027.jpg,,colophon,colophon-like tail matter with scribal or ownership marks after the target text
T4-p028,,28,,Faith_in_Mind_Kyoto_RB00009461_Shiburoku/images/RB00009461_00028.jpg,,title,back cover or wrapper
